Code Location	CPU Time	Performance-core (P-core):Memory Bound(%)	Performance-core (P-core):Memory Bound:L1 Bound(%)	Performance-core (P-core):Memory Bound:L2 Bound(%)	Performance-core (P-core):Memory Bound:L3 Bound(%)	Performance-core (P-core):Memory Bound:DRAM Bound(%)	Performance-core (P-core):Memory Bound:Store Bound(%)	Loads	Stores	LLC Miss Count	Average Latency (cycles)	Module	Function (Full)	Module Path	Function Range Size	Start Address
0x1370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130000	0	0	23.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x103	0x1270
0x1311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130000	0	0	8.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x63	0x12be
0x1074	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	reverseLinkedList	func@0x1070	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x10	0x1070
0x10e0	0.0001	3.4	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	reverseLinkedList	main	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0xda	0x10a0
0x128e	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0xc6	0x128e
0x110e	0.0001	5.1	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	reverseLinkedList	main	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0xda	0x10a0
0x12b2	0.0001	34.5	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x7f	0x12b2
0x136a	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	130000	0	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x103	0x1270
0x10f8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	260000	0	0.0	reverseLinkedList	Node::Node(int)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x0	0x10f2
0x1119	0.0	4.3	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	reverseLinkedList	main	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0xda	0x10a0
0x1094	0.0	4.9	0.0	0.0	0.0	0.0	0.0	260000	0	0	0.0	reverseLinkedList	func@0x1090	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x10	0x1090
0x10f2	0.0	4.3	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	reverseLinkedList	main	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0xda	0x10a0
0x127d	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x103	0x1270
0x12a1	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0xa2	0x12a1
0x12c5	0.0	38.8	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x63	0x12be
0x12ca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130000	0	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x47	0x12ca
0x12ec	0.0	0.0	0.0	0.0	0.0	0.0	0.0	390000	0	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x2b	0x12d6
0x12f5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1040000	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x2b	0x12d6
0x1150	0.0	5.5	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	reverseLinkedList	printf	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x11	0x1150
0x115c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	520000	0	0.0	reverseLinkedList	printf	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x11	0x1150
0x1305	0.0	33.7	0.0	0.0	0.0	0.0	0.0	0	390000	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x47	0x12ca
0x12f9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	130000	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x2b	0x12d6
0x1321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	520000	0	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x7f	0x12b2
0x1315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	260000	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x63	0x12be
0x1331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130000	0	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0xa2	0x12a1
0x1336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	260000	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0xa2	0x12a1
0x133a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	130000	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0xa2	0x12a1
0x1325	0.0	19.6	0.0	0.0	0.0	0.0	0.0	0	130000	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0x7f	0x12b2
0x1343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	390000	0	0	0.0	reverseLinkedList	Solution::reverseList(Node*)	/home/pratik/Arch/crisp-champsim/Slice/reverseLinkedList	0xc6	0x128e
